UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,id,Machine failure.1,rule_tachycardia,rule_tachypnea,rule_temp,rule_wbc,clinical_flag,meets_clinical_rule
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,136475.0,0.008223823,False,False,False,False,0,False
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,136476.0,0.110637341,False,False,False,False,0,False
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,136477.0,0.005318334,False,False,False,False,0,False
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,136478.0,0.005253453,False,False,False,False,0,False
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,136479.0,0.012878392,False,False,False,False,0,False
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,136480.0,0.036406033,False,False,False,False,0,False
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,136481.0,0.011936324,False,False,False,False,0,False
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,136482.0,0.252657032,False,False,False,False,0,False
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,136483.0,0.03093312,False,False,False,False,0,False
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,136484.0,0.005281718,False,False,False,False,0,False
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,136485.0,0.004460284,False,False,False,False,0,False
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,136486.0,0.005102156,False,False,False,False,0,False
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,136487.0,0.004579092,False,False,False,False,0,False
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,136488.0,0.030938152,False,False,False,False,0,False
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,136489.0,0.003002554,False,False,False,False,0,False
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,136490.0,0.129708619,False,False,False,False,0,False
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,136491.0,0.031710874,False,False,False,False,0,False
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,136492.0,0.004046332,False,False,False,False,0,False
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,136493.0,0.028675618,False,False,False,False,0,False
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,136494.0,0.003652391,False,False,False,False,0,False
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,136495.0,0.010139536,False,False,False,False,0,False
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,136496.0,0.004986324,False,False,False,False,0,False
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,136497.0,0.005277313,False,False,False,False,0,False
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,136498.0,0.06086166,False,False,False,False,0,False
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,136499.0,0.005290841,False,False,False,False,0,False
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,136500.0,0.00296399,False,False,False,False,0,False
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,136501.0,0.004477872,False,False,False,False,0,False
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,136502.0,0.009811027,False,False,False,False,0,False
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,136503.0,0.013288655,False,False,False,False,0,False
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,136504.0,0.005059293,False,False,False,False,0,False
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,136505.0,0.009859661,False,False,False,False,0,False
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,136506.0,0.013053632,False,False,False,False,0,False
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,136507.0,0.005241062,False,False,False,False,0,False
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,136508.0,0.007468575,False,False,False,False,0,False
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,136509.0,0.012555752,False,False,False,False,0,False
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,136510.0,0.004028612,False,False,False,False,0,False
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,136511.0,0.019550849,False,False,False,False,0,False
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,136512.0,0.003734486,False,False,False,False,0,False
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,136513.0,0.021810843,False,False,False,False,0,False
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,136514.0,0.005184558,False,False,False,False,0,False
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,136515.0,0.006585273,False,False,False,False,0,False
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,136516.0,0.004669502,False,False,False,False,0,False
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,136517.0,0.00762395,False,False,False,False,0,False
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,136518.0,0.003999646,False,False,False,False,0,False
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,136519.0,0.007558244,False,False,False,False,0,False
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,136520.0,0.032321433,False,False,False,False,0,False
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,136521.0,0.004604904,False,False,False,False,0,False
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,136522.0,0.009445534,False,False,False,False,0,False
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,136523.0,0.003347532,False,False,False,False,0,False
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,136524.0,0.0038685,False,False,False,False,0,False
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,136525.0,0.006911942,False,False,False,False,0,False
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,136526.0,0.011598317,False,False,False,False,0,False
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,136527.0,0.056895661,False,False,False,False,0,False
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,136528.0,0.004671774,False,False,False,False,0,False
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,136529.0,0.010801276,False,False,False,False,0,False
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,136530.0,0.030844218,False,False,False,False,0,False
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,136531.0,0.007105185,False,False,False,False,0,False
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,136532.0,0.005979039,False,False,False,False,0,False
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,136533.0,0.054694362,False,False,False,False,0,False
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,136534.0,0.004708263,False,False,False,False,0,False
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,136535.0,0.004345167,False,False,False,False,0,False
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,136536.0,0.02084297,False,False,False,False,0,False
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,136537.0,0.005482207,False,False,False,False,0,False
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,136538.0,0.013465098,False,False,False,False,0,False
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,136539.0,0.008497638,False,False,False,False,0,False
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,136540.0,0.004313725,False,False,False,False,0,False
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,136541.0,0.018928772,False,False,False,False,0,False
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,136542.0,0.019300643,False,False,False,False,0,False
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,136543.0,0.009345853,False,False,False,False,0,False
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,136544.0,0.005375659,False,False,False,False,0,False
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,136545.0,0.004875348,False,False,False,False,0,False
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,136546.0,0.006091498,False,False,False,False,0,False
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,136547.0,0.006561382,False,False,False,False,0,False
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,136548.0,0.004712318,False,False,False,False,0,False
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,136549.0,0.00877931,False,False,False,False,0,False
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,136550.0,0.011267322,False,False,False,False,0,False
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,136551.0,0.004493232,False,False,False,False,0,False
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,136552.0,0.00496704,False,False,False,False,0,False
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,136553.0,0.020753158,False,False,False,False,0,False
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,136554.0,0.004821359,False,False,False,False,0,False
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,136555.0,0.091852036,False,False,False,False,0,False
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,136556.0,0.030917602,False,False,False,False,0,False
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,136557.0,0.007605752,False,False,False,False,0,False
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,136558.0,0.010457529,False,False,False,False,0,False
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,136559.0,0.00533742,False,False,False,False,0,False
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,136560.0,0.01909089,False,False,False,False,0,False
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,136561.0,0.007640894,False,False,False,False,0,False
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,136562.0,0.009635958,False,False,False,False,0,False
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,136563.0,0.005661184,False,False,False,False,0,False
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,136564.0,0.002943485,False,False,False,False,0,False
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,136565.0,0.07095243,False,False,False,False,0,False
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,136566.0,0.005817583,False,False,False,False,0,False
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,136567.0,0.010435775,False,False,False,False,0,False
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,136568.0,0.007695806,False,False,False,False,0,False
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,136569.0,0.005220159,False,False,False,False,0,False
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,136570.0,0.005495029,False,False,False,False,0,False
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,136571.0,0.028317935,False,False,False,False,0,False
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,136572.0,0.007791542,False,False,False,False,0,False
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,136573.0,0.005550519,False,False,False,False,0,False
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,136574.0,0.009637886,False,False,False,False,0,False
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,136575.0,0.00708826,False,False,False,False,0,False
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,136576.0,0.006340834,False,False,False,False,0,False
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,136577.0,0.008697328,False,False,False,False,0,False
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,136578.0,0.004873279,False,False,False,False,0,False
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,136579.0,0.062947643,False,False,False,False,0,False
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,136580.0,0.004871663,False,False,False,False,0,False
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,136581.0,0.024143069,False,False,False,False,0,False
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,136582.0,0.004262568,False,False,False,False,0,False
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,136583.0,0.005515607,False,False,False,False,0,False
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,136584.0,0.004113072,False,False,False,False,0,False
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,136585.0,0.032315217,False,False,False,False,0,False
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,136586.0,0.532003521,False,False,False,False,0,False
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,136587.0,0.004503277,False,False,False,False,0,False
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,136588.0,0.007573958,False,False,False,False,0,False
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,136589.0,0.00691908,False,False,False,False,0,False
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,136590.0,0.006171593,False,False,False,False,0,False
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,136591.0,0.028074878,False,False,False,False,0,False
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,136592.0,0.06461018,False,False,False,False,0,False
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,136593.0,0.043147977,False,False,False,False,0,False
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,136594.0,0.004908493,False,False,False,False,0,False
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,136595.0,0.005366558,False,False,False,False,0,False
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,136596.0,0.004268943,False,False,False,False,0,False
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,136597.0,0.003370056,False,False,False,False,0,False
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,136598.0,0.004385547,False,False,False,False,0,False
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,136599.0,0.00547296,False,False,False,False,0,False
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,136600.0,0.004601487,False,False,False,False,0,False
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,136601.0,0.054457645,False,False,False,False,0,False
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,136602.0,0.011773414,False,False,False,False,0,False
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,136603.0,0.039414453,False,False,False,False,0,False
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,136604.0,0.005403118,False,False,False,False,0,False
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,136605.0,0.032829392,False,False,False,False,0,False
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,136606.0,0.040253015,False,False,False,False,0,False
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,136607.0,0.025534299,False,False,False,False,0,False
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,136608.0,0.028851431,False,False,False,False,0,False
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,136609.0,0.005566316,False,False,False,False,0,False
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,136610.0,0.01008424,False,False,False,False,0,False
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,136611.0,0.004948004,False,False,False,False,0,False
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,136612.0,0.007599153,False,False,False,False,0,False
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,136613.0,0.004714838,False,False,False,False,0,False
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,136614.0,0.006467832,False,False,False,False,0,False
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,136615.0,0.006739806,False,False,False,False,0,False
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,136616.0,0.005075002,False,False,False,False,0,False
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,136617.0,0.009083943,False,False,False,False,0,False
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,136618.0,0.009006017,False,False,False,False,0,False
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,136619.0,0.00436628,False,False,False,False,0,False
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,136620.0,0.004534959,False,False,False,False,0,False
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,136621.0,0.00494284,False,False,False,False,0,False
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,136622.0,0.005962263,False,False,False,False,0,False
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,136623.0,0.004285281,False,False,False,False,0,False
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,136624.0,0.021172179,False,False,False,False,0,False
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,136625.0,0.005429416,False,False,False,False,0,False
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,136626.0,0.005175435,False,False,False,False,0,False
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,136627.0,0.058081828,False,False,False,False,0,False
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,136628.0,0.020293217,False,False,False,False,0,False
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,136629.0,0.005737109,False,False,False,False,0,False
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,136630.0,0.004411174,False,False,False,False,0,False
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,136631.0,0.016343635,False,False,False,False,0,False
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,136632.0,0.006964849,False,False,False,False,0,False
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,136633.0,0.006602868,False,False,False,False,0,False
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,136634.0,0.005742851,False,False,False,False,0,False
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,136635.0,0.01461193,False,False,False,False,0,False
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,136636.0,0.073048634,False,False,False,False,0,False
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,136637.0,0.009427668,False,False,False,False,0,False
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,136638.0,0.97103428,False,False,False,False,0,False
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,136639.0,0.026356244,False,False,False,False,0,False
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,136640.0,0.050332633,False,False,False,False,0,False
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,136641.0,0.006328068,False,False,False,False,0,False
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,136642.0,0.005292518,False,False,False,False,0,False
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,136643.0,0.159948211,False,False,False,False,0,False
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,136644.0,0.003850883,False,False,False,False,0,False
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,136645.0,0.00302785,False,False,False,False,0,False
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,136646.0,0.004287384,False,False,False,False,0,False
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,136647.0,0.010037012,False,False,False,False,0,False
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,136648.0,0.13021962,False,False,False,False,0,False
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,136649.0,0.005288518,False,False,False,False,0,False
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,136650.0,0.016826752,False,False,False,False,0,False
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,136651.0,0.004111381,False,False,False,False,0,False
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,136652.0,0.968972206,False,False,False,False,0,False
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,136653.0,0.005672673,False,False,False,False,0,False
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,136654.0,0.004809279,False,False,False,False,0,False
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,136655.0,0.011183044,False,False,False,False,0,False
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,136656.0,0.007005733,False,False,False,False,0,False
